Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Farmington,06350195,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",00195 FARMINGTON AV,CONNECTICUT STATE OF UCHC,4.13,1058/997,"$839,860","$2,328,970","$3,168,830","$3,168,830",POINT (-72.791405987 41.738225986)
Avon,4500505,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",505 WATERVILLE RD,CONNECTICUT STATE OF,2.05,776/1015,"$77,250",$0,"$77,250","$77,250",POINT (-72.819759379 41.771747873)
Glastonbury,18000002S,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 DIAMOND LAKE RD,CONNECTICUT STATE OF,78.24,1598/9,"$21,400",$0,"$21,400","$21,400",POINT (-72.483421723 41.697059987)
Glastonbury,70400021E,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00788 THOMPSON ST,CONNECTICUT STATE OF,1,1873/12,"$5,600",$0,"$5,600","$5,600",POINT (-72.517125434 41.687412344)
Ellington,00269300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HOPKINS RD,CONNECTICUT STATE OF - SHENIPSIT FOREST,335.68,38/398,"$91,640",$0,"$91,640","$91,640",POINT (-72.441060278 41.915120103)
Bristol,0273205,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOUISIANA AVE,STATE OF CONNECTICUT DEPT OF TRANSPORTAT,0.01,2128/116,$770,$0,$770,$770,POINT (-72.919046179 41.689034317)
Ellington,00339000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WEBSTER RD,CONNECTICUT STATE OF - SHENIPSIT FOREST,88.04,41/239,"$24,040",$0,"$24,040","$24,040",POINT (-72.413659311 41.937801489)
Cornwall,20140010,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 FLAT ROCKS RD,CONNECTICUT STATE OF,50,86/462,"$2,600",$0,"$2,600","$2,600",POINT (-73.32120704 41.783909418)
Farmington,03560001,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",00001 CIRCLE RD,CONNECTICUT STATE OF,0,0/0,$0,"$141,503,880","$141,503,880","$141,503,880",POINT (-72.793554635 41.735200057)
Columbia,00193400,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00004A SCALISE DR,CONN STATE OF,2.53,98/857,"$60,900","$216,720","$277,620","$277,620",POINT (-72.253072285 41.704670122)
